salary_min,salary_max,family_size,annual_spendable_income,effective_date,source_url
146000,,1,46500,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
146000,,2,52300,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
146000,,3,58100,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
146000,,4,61000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
146000,,5,66800,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
146000,,6,69700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
139000,145999,1,45100,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
139000,145999,2,50800,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
139000,145999,3,56400,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
139000,145999,4,59200,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
139000,145999,5,64900,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
139000,145999,6,67700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
132000,138999,1,43800,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
132000,138999,2,49200,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
132000,138999,3,54700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
132000,138999,4,57400,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
132000,138999,5,62900,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
132000,138999,6,65700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
125000,131999,1,42400,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
125000,131999,2,47700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
125000,131999,3,53000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
125000,131999,4,55600,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
125000,131999,5,60900,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
125000,131999,6,63600,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
118000,124999,1,41000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
118000,124999,2,46100,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
118000,124999,3,51200,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
118000,124999,4,53800,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
118000,124999,5,58900,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
118000,124999,6,61500,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
112000,117999,1,39700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
112000,117999,2,44600,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
112000,117999,3,49600,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
112000,117999,4,52000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
112000,117999,5,57000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
112000,117999,6,59500,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
106000,111999,1,38400,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
106000,111999,2,43200,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
106000,111999,3,48000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
106000,111999,4,50400,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
106000,111999,5,55200,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
106000,111999,6,57600,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
100000,105999,1,37200,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
100000,105999,2,41800,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
100000,105999,3,46400,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
100000,105999,4,48800,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
100000,105999,5,53400,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
100000,105999,6,55700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
95000,99999,1,36000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
95000,99999,2,40500,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
95000,99999,3,45000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
95000,99999,4,47200,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
95000,99999,5,51700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
95000,99999,6,54000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
90000,94999,1,34900,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
90000,94999,2,39300,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
90000,94999,3,43700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
90000,94999,4,45800,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
90000,94999,5,50200,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
90000,94999,6,52400,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
85000,89999,1,33800,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
85000,89999,2,38100,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
85000,89999,3,42300,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
85000,89999,4,44400,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
85000,89999,5,48600,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
85000,89999,6,50800,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
80000,84999,1,32700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
80000,84999,2,36800,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
80000,84999,3,40900,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
80000,84999,4,43000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
80000,84999,5,47100,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
80000,84999,6,49100,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
75000,79999,1,31600,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
75000,79999,2,35600,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
75000,79999,3,39500,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
75000,79999,4,41500,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
75000,79999,5,45500,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
75000,79999,6,47500,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
71000,74999,1,30600,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
71000,74999,2,34500,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
71000,74999,3,38300,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
71000,74999,4,40200,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
71000,74999,5,44000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
71000,74999,6,46000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
67000,70999,1,29700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
67000,70999,2,33500,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
67000,70999,3,37200,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
67000,70999,4,39000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
67000,70999,5,42700,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
67000,70999,6,44600,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
63000,66999,1,28800,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
63000,66999,2,32400,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
63000,66999,3,36000,2023-01-01,"https://allowances.state.gov/Content/Documents/Annual Spendable Income by Salary and Family Size       effective  January 1, 2023.docx"
