locality_code,year,adjustment_pct,locality_name
ABQ,2026,18.33,Albuquerque-Santa Fe-Las Vegas NM
ALB,2026,20.77,Albany-Schenectady NY-MA
ATL,2026,23.79,Atlanta--Athens-Clarke County--Sandy Springs GA-AL
AUS,2026,20.35,Austin-Round Rock-Georgetown TX
BIR,2026,18.24,Birmingham-Hoover-Talladega AL
BOS,2026,32.58,Boston-Worcester-Providence MA-RI-NH-CT-ME-VT
BUF,2026,22.41,Buffalo-Cheektowaga-Olean NY
BUR,2026,19.45,Burlington-South Burlington-Barre VT
CHA,2026,19.67,Charlotte-Concord NC-SC
CHI,2026,30.86,Chicago-Naperville IL-IN-WI
CIN,2026,21.93,Cincinnati-Wilmington-Maysville OH-KY-IN
CLE,2026,22.23,Cleveland-Akron-Canton OH-PA
COL,2026,22.15,Columbus-Marion-Zanesville OH
CSP,2026,20.15,Colorado Springs CO
DAL,2026,27.26,Dallas-Fort Worth TX-OK
DAV,2026,18.93,Davenport-Moline IA-IL
DAY,2026,21.42,Dayton-Springfield-Kettering OH
DCB,2026,33.94,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DEN,2026,30.52,Denver-Aurora CO
DSM,2026,18.01,Des Moines-Ames-West Des Moines IA
DTW,2026,29.12,Detroit-Warren-Ann Arbor MI
FRE,2026,17.65,Fresno-Madera-Hanford CA
HAR,2026,19.43,Harrisburg-Lebanon PA
HOU,2026,35.00,Houston-The Woodlands TX
HRT,2026,32.08,Hartford-East Hartford CT-MA
HUN,2026,21.91,Huntsville-Decatur AL-TN
IND,2026,18.15,Indianapolis-Carmel-Muncie IN
KCY,2026,18.97,Kansas City-Overland Park-Kansas City MO-KS
LAR,2026,21.59,Laredo TX
LOS,2026,36.47,Los Angeles-Long Beach CA
LVG,2026,19.57,Las Vegas-Henderson NV-AZ
MIA,2026,24.67,Miami-Port St. Lucie-Fort Lauderdale FL
MIL,2026,22.42,Milwaukee-Racine-Waukesha WI
MLB,2026,17.93,Palm Bay-Melbourne-Titusville FL
MSP,2026,27.62,Minneapolis-St. Paul MN-WI
NSH,2026,21.59,Nashville-Davidson--Murfreesboro TN
NYC,2026,37.95,New York-Newark NY-NJ-CT-PA
OMA,2026,18.23,Omaha-Council Bluffs-Fremont NE-IA
ORL,2026,19.34,Orlando-Lakeland-Deltona FL
PHI,2026,28.99,Philadelphia-Reading-Camden PA-NJ-DE-MD
PHX,2026,22.45,Phoenix-Mesa AZ
PIT,2026,21.03,Pittsburgh-New Castle-Weirton PA-OH-WV
POR,2026,26.13,Portland-Vancouver-Salem OR-WA
RAL,2026,22.24,Raleigh-Durham-Cary NC
REN,2026,17.52,Reno-Fernley NV
RIC,2026,22.28,Richmond VA
SAC,2026,29.76,Sacramento-Roseville CA-NV
SAN,2026,18.78,San Antonio-New Braunfels-Pearsall TX
SDC,2026,33.72,San Diego-Chula Vista-Carlsbad CA
SEA,2026,31.57,Seattle-Tacoma WA
SFO,2026,46.34,San Jose-San Francisco-Oakland CA
SLC,2026,19.04,Salt Lake City-Provo-Orem UT-ID
SPO,2026,17.67,Spokane-Spokane Valley-Coeur d'Alene WA-ID
STL,2026,20.03,St. Louis-St. Charles-Farmington MO-IL
TPA,2026,19.51,Tampa-St. Petersburg-Clearwater FL
TUS,2026,19.28,Tucson-Nogales AZ
VAB,2026,18.80,Virginia Beach-Norfolk VA-NC
AK,2026,32.36,State of Alaska
HI,2026,22.21,State of Hawaii
RUS,2026,17.06,Rest of U.S.
CC,2026,17.63,Corpus Christi-Kingsville-Alice TX
RT,2026,17.88,Rochester-Batavia-Seneca Falls NY
