year,state,burden_pct
2022,AL,9.8
2022,AK,4.6
2022,AZ,9.5
2022,AR,10.2
2022,CA,13.5
2022,CO,9.7
2022,CT,15.4
2022,DE,12.4
2022,DC,12.0
2022,FL,9.1
2022,GA,8.9
2022,HI,14.1
2022,ID,10.7
2022,IL,12.9
2022,IN,9.3
2022,IA,11.2
2022,KS,11.2
2022,KY,9.6
2022,LA,9.1
2022,ME,12.4
2022,MD,11.3
2022,MA,11.5
2022,MI,8.6
2022,MN,12.1
2022,MS,9.8
2022,MO,9.3
2022,MT,10.5
2022,NE,11.5
2022,NV,9.6
2022,NH,9.6
2022,NJ,13.2
2022,NM,10.2
2022,NY,15.9
2022,NC,9.9
2022,ND,8.8
2022,OH,10.0
2022,OK,9.0
2022,OR,10.8
2022,PA,10.6
2022,RI,11.4
2022,SC,8.9
2022,SD,8.4
2022,TN,7.6
2022,TX,8.6
2022,UT,12.1
2022,VT,13.6
2022,VA,12.5
2022,WA,10.7
2022,WV,9.8
2022,WI,10.9
2022,WY,7.5
